uniprot_id,GO_IDs
P00742,GO_0005796;GO_0007596;GO_0007599;GO_0005543;GO_0030335;GO_0005576;GO_0005515;GO_0006508;GO_0005509;GO_0016787;GO_0032008;GO_0004252;GO_0005886;GO_0005788;GO_0005615;GO_0009897;GO_0008236;GO_0008233
P00749,GO_0007599;GO_0030335;GO_0010757;GO_0042127;GO_0006508;GO_0004252;GO_0005576;GO_1905370;GO_0007165;GO_0097180;GO_0009986;GO_0001666;GO_0098637;GO_2001044;GO_0016787;GO_0030155;GO_0038195;GO_0061041;GO_0006935;GO_0070821;GO_0005515;GO_0014910;GO_0051918;GO_0005615;GO_0010755;GO_0008233;GO_0009897;GO_0007596;GO_0005925;GO_2000097;GO_0051917;GO_0033628;GO_0042730;GO_0035579;GO_0005886;GO_0031639;GO_0070062;GO_0014909;GO_0008236
P39900,GO_0000122;GO_0032727;GO_0030574;GO_0006508;GO_0060309;GO_0030198;GO_0004252;GO_0060339;GO_0005737;GO_0022617;GO_0005576;GO_1904905;GO_0035313;GO_0008237;GO_0005518;GO_0004175;GO_1904645;GO_0031012;GO_0050691;GO_0016787;GO_0048286;GO_0060054;GO_0010628;GO_0060435;GO_0005615;GO_0006606;GO_0060340;GO_0008233;GO_0043565;GO_0005634;GO_0098586;GO_0004222;GO_0005509;GO_0046872;GO_0001046;GO_0045944;GO_0008270
Q76353,GO_0016779;GO_0006310;GO_0004519;GO_0005515;GO_0075713;GO_0004518;GO_0016787;GO_0046872;GO_0006278;GO_0003677;GO_0044826;GO_0046718;GO_0003964;GO_0015074;GO_0003676;GO_0008270;GO_0016740;GO_0035613
Q9H2K2,GO_0000242;GO_1990404;GO_0032212;GO_0070212;GO_0048471;GO_0005737;GO_0005635;GO_0016740;GO_0016779;GO_0000139;GO_0019899;GO_0005794;GO_0005829;GO_0016757;GO_0000781;GO_0090263;GO_0070198;GO_0140806;GO_0005515;GO_0000209;GO_0016055;GO_0070213;GO_1904355;GO_0140807;GO_0005634;GO_0003950;GO_0016020;GO_0046872;GO_1904357;GO_0005694
P0A4Z6,GO_0003824;GO_0003674;GO_0016829;GO_0016765;GO_0016740;GO_0005515;GO_0005488;GO_0016798;GO_0016787;GO_0019752;GO_0043436;GO_0006082;GO_0044281;GO_0008152;GO_0009987;GO_0008150;GO_0110165;GO_0005575;GO_0005737;GO_0005622;GO_0005829
P26663,GO_0033644;GO_0075512;GO_0004197;GO_0017124;GO_0030430;GO_0006508;GO_0015267;GO_0039520;GO_1990904;GO_0003824;GO_0004252;GO_0039654;GO_0019031;GO_0044186;GO_0016740;GO_0039563;GO_0016779;GO_0052170;GO_0033650;GO_0004386;GO_0016032;GO_0000166;GO_0034220;GO_0044165;GO_0044167;GO_0005198;GO_0005524;GO_0016787;GO_0016887;GO_0019062;GO_0003968;GO_0039545;GO_0044071;GO_0039663;GO_0020002;GO_0075509;GO_0039502;GO_0005515;GO_0042025;GO_0019087;GO_0019013;GO_0039527;GO_0008234;GO_0006811;GO_0044191;GO_0039694;GO_0008233;GO_0003724;GO_0039645;GO_0034062;GO_0016020;GO_0019028;GO_0046872;GO_0003723;GO_0044423;GO_0055036;GO_0046718;GO_0001172;GO_0008270;GO_0044220;GO_0017111;GO_0008236
O92972,GO_0033644;GO_0075512;GO_0004197;GO_0017124;GO_0030430;GO_0006508;GO_0015267;GO_0039520;GO_1990904;GO_0003824;GO_0004252;GO_0039654;GO_0019031;GO_0044186;GO_0016740;GO_0039563;GO_0016779;GO_0052170;GO_0033650;GO_0004386;GO_0016032;GO_0000166;GO_0034220;GO_0044165;GO_0044167;GO_0005198;GO_0005524;GO_0016787;GO_0016887;GO_0019062;GO_0003968;GO_0039545;GO_0044071;GO_0060090;GO_0039663;GO_0020002;GO_0075509;GO_0039502;GO_0005515;GO_0042025;GO_0019087;GO_0019013;GO_0039527;GO_0008234;GO_0006811;GO_0044191;GO_0039694;GO_0008233;GO_0003724;GO_0039645;GO_0034062;GO_0016020;GO_0019028;GO_0046872;GO_0003723;GO_0044423;GO_0055036;GO_0046718;GO_0001172;GO_0008270;GO_0044220;GO_0017111;GO_0008236
P18031,GO_1990090;GO_2000646;GO_1902202;GO_0006470;GO_0030968;GO_0034976;GO_0030162;GO_0010812;GO_0071732;GO_0097706;GO_0045296;GO_0035335;GO_0019901;GO_0010460;GO_0034620;GO_0005737;GO_0005829;GO_0051721;GO_0030971;GO_0036498;GO_1904385;GO_0016791;GO_2000353;GO_1904753;GO_0036120;GO_0010666;GO_0046875;GO_0031904;GO_0030948;GO_0098794;GO_0019899;GO_0032869;GO_0009966;GO_0016787;GO_0038020;GO_0044344;GO_0004725;GO_0004726;GO_0010977;GO_0035791;GO_0060338;GO_0070373;GO_1903898;GO_0071456;GO_0043507;GO_0150052;GO_0008285;GO_0005515;GO_0030100;GO_0046627;GO_1903896;GO_0005783;GO_0046626;GO_0005769;GO_0031667;GO_0004721;GO_0060397;GO_0003084;GO_0009968;GO_0030036;GO_0033157;GO_0005158;GO_0003723;GO_0043407;GO_0051898;GO_1990776;GO_0061098;GO_0005886;GO_0008286;GO_0008270;GO_0098978;GO_1902236;GO_0005789
O60674,GO_0010811;GO_0033209;GO_0042307;GO_0019901;GO_0008631;GO_0046777;GO_0030546;GO_0002376;GO_0016740;GO_0043410;GO_0034050;GO_0006979;GO_0020037;GO_0005524;GO_0061180;GO_0035401;GO_0022407;GO_0046425;GO_0032819;GO_0034612;GO_0007204;GO_0005102;GO_0007167;GO_0030041;GO_0005143;GO_0030099;GO_0001774;GO_0045944;GO_0038065;GO_0045597;GO_0042393;GO_0042169;GO_0007259;GO_0007165;GO_0042976;GO_0006338;GO_0050867;GO_0043066;GO_0004713;GO_0000166;GO_0097191;GO_0038156;GO_0046677;GO_0032024;GO_0007155;GO_0031702;GO_0051428;GO_0038157;GO_0045429;GO_0006366;GO_0042102;GO_0014075;GO_0002250;GO_0009755;GO_0030218;GO_0042802;GO_0006955;GO_0038163;GO_0051897;GO_0008284;GO_0032740;GO_0031103;GO_0032760;GO_0042981;GO_0032729;GO_0035722;GO_0071222;GO_0010572;GO_0031663;GO_2001235;GO_0045087;GO_0033194;GO_0071549;GO_0042531;GO_1901731;GO_0045428;GO_0043065;GO_0032731;GO_0004672;GO_0006325;GO_0008285;GO_0005515;GO_0043548;GO_0031959;GO_0043687;GO_0030154;GO_0050727;GO_0006915;GO_0035556;GO_0043524;GO_0035166;GO_0010667;GO_0043560;GO_0030335;GO_0045348;GO_0038155;GO_0060391;GO_0050804;GO_0051142;GO_0016301;GO_0038043;GO_0005131;GO_0048008;GO_0038162;GO_0036016;GO_0050865;GO_0019221;GO_0046427;GO_0046872;GO_0022408;GO_0004715;GO_0007498;GO_0033130
P07900,GO_0007004;GO_0000166;GO_0005515;GO_0003723;GO_0002135;GO_0002134;GO_0003729
P00800,GO_0008233;GO_0004222;GO_0006508;GO_0046872;GO_0016787;GO_0005576;GO_0008237
P11309,GO_1990748;GO_0090336;GO_0022898;GO_0060045;GO_1902033;GO_0046777;GO_0005737;GO_0004674;GO_0016740;GO_0016301;GO_0007346;GO_0043066;GO_0000166;GO_0005524;GO_0005829;GO_0030145;GO_0045824;GO_0050821;GO_1904263;GO_0008134;GO_1905062;GO_0043024;GO_0004672;GO_0005515;GO_0070561;GO_0071346;GO_0005730;GO_0005634;GO_0043433;GO_0006915;GO_0016020;GO_0046872;GO_0106310;GO_0005886;GO_0005654;GO_0006468;GO_0045893
Q8WSF8,GO_0006811;GO_0034220;GO_0016020;GO_0005515;GO_0046872;GO_0042802;GO_0004888;GO_0005216;GO_0005230
P0A5R0,GO_0003824;GO_0003674;GO_0005488;GO_0016881;GO_0004592;GO_0016879;GO_0016874;GO_0005515;GO_0016765;GO_0016740;GO_0043168;GO_0043167;GO_0036094;GO_1901363;GO_0097159;GO_0009987;GO_0008150;GO_0043604;GO_0043603;GO_0009058;GO_0008152;GO_0072330;GO_0032787;GO_0019752;GO_0046394;GO_0009110;GO_0006767;GO_0016053;GO_0042364;GO_0043436;GO_0006082;GO_0044283;GO_0042398;GO_0015939;GO_0006766;GO_0015940;GO_0006575;GO_0044281;GO_0110165;GO_0005575;GO_0005737;GO_0005622;GO_0005829
P11838,GO_0006508;GO_0004190;GO_0016787;GO_0008233
Q16539,GO_0033209;GO_0042307;GO_0051146;GO_0051525;GO_0016740;GO_0035994;GO_0010831;GO_0032495;GO_0005524;GO_0042770;GO_0006357;GO_0048010;GO_0046323;GO_0060348;GO_0071493;GO_0007166;GO_0032496;GO_1900015;GO_2000379;GO_0004707;GO_0045944;GO_0001649;GO_0046326;GO_0090398;GO_1901741;GO_0060045;GO_0002021;GO_0005576;GO_0007165;GO_0000166;GO_0019899;GO_0005829;GO_0090090;GO_0006366;GO_0006935;GO_0010628;GO_0033554;GO_0001525;GO_0005634;GO_0098586;GO_0000902;GO_0019903;GO_0031098;GO_0071479;GO_0035331;GO_0071222;GO_0005654;GO_0045648;GO_0031663;GO_0099179;GO_0002062;GO_0090336;GO_0006006;GO_0000922;GO_0032735;GO_0007178;GO_0004674;GO_0030316;GO_0035924;GO_0048863;GO_0004672;GO_0038066;GO_0005515;GO_0001890;GO_0090400;GO_0006915;GO_0035556;GO_0070935;GO_0007519;GO_0098978;GO_0030278;GO_0004708;GO_0000077;GO_0002862;GO_0031281;GO_0005737;GO_0043536;GO_0016301;GO_0001502;GO_0051403;GO_0000165;GO_0045663;GO_0006355;GO_0019395;GO_0071356;GO_0006974;GO_0048273;GO_0032868;GO_0071223;GO_0051149;GO_0106310;GO_0030168
P03951,GO_0007599;GO_0006508;GO_0004252;GO_0005576;GO_0051919;GO_0016787;GO_0030193;GO_0005515;GO_0042802;GO_0005615;GO_0008233;GO_0007596;GO_0008201;GO_0016020;GO_0070009;GO_0005886;GO_0031639;GO_0070062;GO_0008236
P02829,GO_0032991;GO_0043248;GO_0034605;GO_0032212;GO_0042026;GO_0048471;GO_0005737;GO_0000166;GO_0006626;GO_0005524;GO_0016887;GO_0005829;GO_0050821;GO_0032204;GO_0051082;GO_0006970;GO_0005515;GO_0000492;GO_0042802;GO_0006457;GO_0005634;GO_0070482;GO_0140662;GO_0051604;GO_0005886;GO_0006458
A9JQL9,GO_0004311;GO_0009058;GO_0016117;GO_0016765;GO_0046872;GO_0051996;GO_0016740
Q9L5C8,GO_0017001;GO_0008800;GO_0016787;GO_0046677;GO_0030655
P00520,GO_0099150;GO_0030182;GO_0019901;GO_2000772;GO_0098609;GO_0008306;GO_0016740;GO_0038191;GO_0072359;GO_0050798;GO_0006979;GO_0007229;GO_0071871;GO_0005524;GO_0042770;GO_0048538;GO_0060038;GO_0000287;GO_0048146;GO_0032956;GO_0060020;GO_0007204;GO_0031113;GO_0007249;GO_2000773;GO_0030041;GO_0045907;GO_0008047;GO_0030036;GO_0030516;GO_0006909;GO_0030509;GO_1990837;GO_0007173;GO_0090398;GO_0017124;GO_0034976;GO_0051281;GO_0030514;GO_0042169;GO_0018108;GO_0051450;GO_0005080;GO_0046875;GO_0071560;GO_0004713;GO_0000166;GO_0019899;GO_0051128;GO_1900026;GO_0010595;GO_0007155;GO_0007611;GO_0045931;GO_0002333;GO_0043123;GO_0000405;GO_0021587;GO_0006281;GO_0009410;GO_0030035;GO_0019904;GO_1903053;GO_1904157;GO_1900272;GO_0043542;GO_0032729;GO_0032489;GO_0051019;GO_0071103;GO_0051894;GO_0071222;GO_0006468;GO_0043525;GO_0019905;GO_0001922;GO_0050885;GO_0050731;GO_0033690;GO_0051496;GO_0051402;GO_0051015;GO_0002322;GO_0051649;GO_0023052;GO_0048536;GO_0035791;GO_2000352;GO_0070371;GO_0043065;GO_0051726;GO_0006914;GO_1900006;GO_0009791;GO_0004672;GO_0005515;GO_0042100;GO_0038189;GO_0000400;GO_0032743;GO_0006897;GO_0048013;GO_0001843;GO_0070097;GO_0006915;GO_0035556;GO_0045580;GO_0003677;GO_0050852;GO_0042127;GO_0070301;GO_0030845;GO_0016301;GO_0060563;GO_0070373;GO_0030145;GO_0048008;GO_0070064;GO_0046632;GO_0090050;GO_0007154;GO_0050853;GO_0006974;GO_0001784;GO_0070374;GO_0046872;GO_0022408;GO_0045930;GO_0004715;GO_1903055;GO_0034446;GO_2000096;GO_0034599
P23458,GO_0035771;GO_0038196;GO_1900182;GO_0038113;GO_0038111;GO_0140105;GO_0031234;GO_0007259;GO_0005737;GO_0070102;GO_0009898;GO_0072540;GO_0016740;GO_0016301;GO_0004713;GO_0000166;GO_0005131;GO_0005524;GO_0046677;GO_0030155;GO_0005829;GO_0038154;GO_0035723;GO_0005768;GO_1903672;GO_0031625;GO_0034112;GO_0038110;GO_0004672;GO_0005515;GO_0150105;GO_0030154;GO_0051239;GO_0060337;GO_0005634;GO_0060397;GO_0098586;GO_0019221;GO_0046872;GO_0004715;GO_0035556;GO_0019903;GO_0060333;GO_0005886;GO_0006468;GO_0031730
Q15370,GO_0031462;GO_0005634;GO_0031625;GO_0006368;GO_0065003;GO_0001222;GO_0032436;GO_0140958;GO_0030891;GO_0005515;GO_0006367;GO_0005829;GO_0070449;GO_0031466;GO_0016567;GO_0005654
O14757,GO_0001833;GO_0032991;GO_0000077;GO_0000785;GO_0018107;GO_0010569;GO_0090399;GO_0042127;GO_0046602;GO_0071260;GO_0005657;GO_0005737;GO_0004674;GO_0045814;GO_1901796;GO_0016740;GO_0006338;GO_0016301;GO_0006260;GO_1902742;GO_0000166;GO_0005524;GO_0005829;GO_0010468;GO_0042770;GO_0005813;GO_0035402;GO_0000781;GO_0000086;GO_0004672;GO_0005515;GO_0006281;GO_0006974;GO_0019904;GO_0045839;GO_0005856;GO_0005615;GO_0045787;GO_0005634;GO_0000794;GO_0006997;GO_0006915;GO_0007095;GO_0106310;GO_0044818;GO_0005694;GO_0005654;GO_0043231;GO_0006468;GO_0070317
Q08638,GO_0000272;GO_0016787;GO_0008422;GO_0005975;GO_0030245;GO_0004553;GO_0016798
P61823,GO_0050830;GO_0016829;GO_0004519;GO_0005515;GO_0004518;GO_0016787;GO_0004540;GO_0004522;GO_0005576;GO_0003676
P28720,GO_0002099;GO_0006400;GO_0008616;GO_0008479;GO_0046872;GO_0005829;GO_0101030;GO_0008033;GO_0005737;GO_0016757;GO_0016740
Q08881,GO_0046629;GO_0005737;GO_0007165;GO_0002376;GO_0016740;GO_0016301;GO_0001819;GO_0004713;GO_0000166;GO_0005524;GO_0005829;GO_0042110;GO_0006968;GO_0002250;GO_0050853;GO_0004672;GO_0005911;GO_0005515;GO_0005634;GO_0046872;GO_0004715;GO_0035556;GO_0050852;GO_0005886;GO_0008270;GO_0001865
O14965,GO_0036064;GO_0019901;GO_0046777;GO_0031616;GO_0016740;GO_0051233;GO_0043161;GO_0005524;GO_0007098;GO_0005815;GO_0015630;GO_0045120;GO_0009948;GO_0031625;GO_0051642;GO_1900195;GO_0072686;GO_0032091;GO_0004712;GO_0010629;GO_0005886;GO_0009611;GO_0061523;GO_0043005;GO_1990138;GO_0035175;GO_0097421;GO_0006338;GO_0097431;GO_0043066;GO_0000166;GO_0046982;GO_0032133;GO_0005829;GO_0045931;GO_0032465;GO_0071539;GO_0140677;GO_0007100;GO_0046605;GO_0030496;GO_0005634;GO_0051301;GO_0016020;GO_0007052;GO_0005654;GO_0005929;GO_0006468;GO_0031647;GO_0007057;GO_0000922;GO_0005814;GO_0004674;GO_0005874;GO_0051321;GO_0007051;GO_0000086;GO_0090141;GO_0014069;GO_0005876;GO_0032436;GO_0004672;GO_0005515;GO_0018105;GO_0016323;GO_0005819;GO_0000278;GO_0006915;GO_0042995;GO_0043203;GO_0098978;GO_0030030;GO_0048471;GO_0005737;GO_1901796;GO_0016301;GO_0045840;GO_0010389;GO_0000226;GO_0005813;GO_0000212;GO_0000776;GO_0005856;GO_0072687;GO_0106310;GO_0042585
Q89ZI2,GO_0006517;GO_0016231;GO_0016787;GO_0042802;GO_0005975;GO_0015929;GO_0016798;GO_0102571;GO_1901135
Q8A3I4,GO_0006004;GO_0016787;GO_0005975;GO_0005764;GO_0004553;GO_0016798;GO_0016139;GO_0004560
P66992,GO_0003824;GO_0003674;GO_0016740;GO_0016757;GO_0016763;GO_0004048;GO_0016829;GO_0008652;GO_0006520;GO_0009058;GO_0044238;GO_0008152;GO_0009987;GO_0008150;GO_0019752;GO_0046394;GO_1901607;GO_1901605;GO_0016053;GO_0043436;GO_0006082;GO_0044283;GO_0044281;GO_0009073;GO_0009072;GO_0042401;GO_0000162;GO_0046219;GO_0006586;GO_0042435;GO_0006576;GO_0009309;GO_0009308;GO_0042430;GO_0110165;GO_0005575;GO_0071944;GO_0005886;GO_0016020
P58154,GO_0043083;GO_0034220;GO_0006811;GO_0016020;GO_0004888;GO_0005216;GO_0005576;GO_0005230;GO_0045202
P04058,GO_0004104;GO_0043083;GO_0001507;GO_0016020;GO_0003990;GO_0098552;GO_0016787;GO_0006581;GO_0005886;GO_0005615;GO_0045202;GO_0019695;GO_0052689
P00811,GO_0017001;GO_0008800;GO_0016787;GO_0046677;GO_0042597;GO_0030288
P19491,GO_0019901;GO_0097110;GO_0008092;GO_0010226;GO_0015276;GO_0045211;GO_0032839;GO_0043197;GO_0043198;GO_0060992;GO_1990416;GO_0001540;GO_0036477;GO_0044326;GO_0005886;GO_0030424;GO_0044877;GO_0043005;GO_0098685;GO_0043025;GO_0031623;GO_0043195;GO_0008021;GO_0060078;GO_0099505;GO_0032590;GO_0030672;GO_0005216;GO_0099094;GO_0030165;GO_1904315;GO_0048787;GO_0042802;GO_0021987;GO_0005783;GO_0035255;GO_0004970;GO_0016020;GO_1990708;GO_0022849;GO_0051262;GO_0071418;GO_0001919;GO_1905430;GO_0019722;GO_0014069;GO_0060079;GO_0030425;GO_0035235;GO_0005515;GO_0099507;GO_0000149;GO_0050806;GO_0098655;GO_0030426;GO_0032279;GO_0007268;GO_0098839;GO_0005234;GO_0042734;GO_0043204;GO_0098978;GO_0035254;GO_0035249;GO_0050804;GO_0009986;GO_0034220;GO_0004971;GO_0015277;GO_0005230;GO_1900452;GO_0045184;GO_0038023;GO_0051966;GO_0006811;GO_0009897;GO_0019865
P22756,GO_0030534;GO_0035249;GO_0097110;GO_0043025;GO_0007399;GO_0050804;GO_0043195;GO_0045202;GO_0048266;GO_0032983;GO_0099505;GO_0015276;GO_0032230;GO_0019722;GO_0051649;GO_0034220;GO_0098815;GO_0014051;GO_0005313;GO_0045211;GO_0051932;GO_0005216;GO_0015277;GO_0048172;GO_0014069;GO_1904315;GO_1901363;GO_0060079;GO_0030425;GO_0035235;GO_0005515;GO_0038023;GO_0099507;GO_0042802;GO_0000149;GO_0014054;GO_0006811;GO_0051899;GO_0042391;GO_0051967;GO_0004970;GO_0060080;GO_0015813;GO_0016020;GO_0099171;GO_0008328;GO_0007268;GO_0016595;GO_0098839;GO_0005234;GO_0042734;GO_0005886;GO_0022849;GO_0048167;GO_0098978;GO_0032229;GO_0043235
P04637,GO_0001223;GO_1902108;GO_0070243;GO_1902895;GO_0035264;GO_2000772;GO_0002326;GO_0007346;GO_0002039;GO_1904024;GO_0006979;GO_0003730;GO_0072593;GO_0001701;GO_0003682;GO_0019661;GO_0006357;GO_0030330;GO_1990144;GO_2000378;GO_0010165;GO_0070242;GO_0010659;GO_0007179;GO_0003700;GO_0010629;GO_0043516;GO_0045944;GO_0000981;GO_0008156;GO_0009651;GO_0010332;GO_0030512;GO_0016604;GO_0000423;GO_2000269;GO_0043066;GO_0010666;GO_0050821;GO_0033077;GO_0007405;GO_0033554;GO_0001227;GO_0009410;GO_0000976;GO_0000987;GO_0070266;GO_0043523;GO_1903799;GO_0021549;GO_0042981;GO_0002020;GO_0043525;GO_0071494;GO_0000122;GO_0060411;GO_0072331;GO_1902749;GO_0072332;GO_0001836;GO_0001228;GO_0051402;GO_0048568;GO_0000978;GO_0072089;GO_0001756;GO_0002931;GO_0005507;GO_0051726;GO_0043065;GO_0008283;GO_0008285;GO_0009792;GO_0006983;GO_0005515;GO_0000977;GO_0007369;GO_0007417;GO_0003677;GO_0045861;GO_0014009;GO_0007406;GO_0071480;GO_0031571;GO_0001046;GO_0042149;GO_0042127;GO_0009303;GO_0048147;GO_0006302;GO_0048144;GO_0007507;GO_0009411;GO_1901525;GO_0034103;GO_0043504;GO_0060253;GO_0002360;GO_0051276;GO_0001094;GO_0002309;GO_1902253;GO_0006974;GO_2000647;GO_0006606;GO_0035794;GO_0045930;GO_0042771;GO_0045893
Q9AMP1,GO_0008061;GO_0000272;GO_0016787;GO_0005975;GO_0006032;GO_0030246;GO_0005576;GO_0004568;GO_0004553;GO_0016798
